id,title,category,desc,manu,price
b0006zf55o,ca international arcserve lap/desktop oem 30pk,3,oem arcserve backup v11.1 win 30u laptops desktops,computer associates,0.0
b000g80lqo,peachtree sage premium accounting nonprofits 2007,3,peachtree premium accounting nonprofits 2007 affordable easy accounting solution donor/grantor management nonprofit organizations constantly striving maximize dollar annual operating budget financial reporting programs funds advanced operational reporting rock-solid core accounting features made peachtree choice hundreds thousands small businesses result accounting solution tailor-made challenges operating nonprofit organization audit trail record report made transactions improve data integrity prior period locking archive organization's data snap shots data closed year set individual user profiles password protection peachtree restore wizard restores backed-up data files web transactions customized forms includes standard accounting features general ledger accounts receivable accounts payable payroll solutions time billing job costing fixed assets analysis reporting customization easily convert quickbooks,sage software,599.99
b0006se5bq,singing coach unlimited,3,singing coach unlimited electronic learning products win nt 2000 xp,carry-a-tune technologies,99.99
b000ehpzv8,emc retrospect 7.5 disk disk windows,3,emc retrospect 7.5 disk diskcromwindows,dantz,0.0
b00021xhzw,adobe effects professional 6.5 upgrade standard professional,3,upgrade installation effects standard disk caching tools speed interactive work save combination animation parameters presets create transformations masks expressions effects text tighter integration adobe tools import photoshop cs illustrator cs files preserved layers attributes output firewire easier previewing ntsc pal video monitors,adobe,499.99
b000gzwjgc,acad upgrade dragon naturallyspeaking pro solution 9.0 a289a-fd7-9.0,3,marketing information dragon naturallyspeakingprofessional saveyou organizationmoney itempowers tocreate documents overthree times faster thantyping protectsagainst repetitive stressinjuries result lostproductivity higher workers compensationpremiums higher temporary labor costs.the accuracy performance ease-of-use indragon naturallyspeaking professional 9make ideal solution busy corporateprofessionals employees canuse dragon naturallyspeaking professionalto create documents email messages write reports complete forms voice product information software type voice recognition software dragon naturallyspeaking v.9.0 professional upgrade features benefits accurate faster safer typing section 508 certified easy special user training required support citrix thin-client environments enterprise ready ease administration mobility bluetooth support robust customization natural language capabilities text speech language support english platform support pc miscellaneous compatibility microsoft office applications word excel outlook andpowerpoint corel wordperfect,nuance academic,399.54
b0000dbykm,mia's math adventure time,3,mia's math adventure time children mia save house math skills,kutoka,19.99
b00029bqa2,disney's 1st 2nd grade bundle pixar 1st grade secret keys aladdin reading quest,3,disney's 1st 2nd grade bundle child learn challenging imagination skill-building activities develop love education child features disney/pixar buzz lightyear learning 1st grade aladdin reading quest disney's search secret keys,disney,14.99
b0007prnjo,paper art gift wrapping,3,times heard thought counts true giftseven simple gift thoughtfully presented bring special joy recipient giver cd beautiful guide gift wrapping paper fabric tools special effects basic advanced techniques boxes cylinders baskets bags system requirements windows windows 98 2000 xp 386 faster mb ram 640x480 monitor 256 colors 16-bit color recommended soundblaster-compatible sound card speakers 2x cd-rom drive system requirements macintosh mac os 7.09.2 os classic mode mb ram 640x480 monitor 256 colors thousands colors recommended 2x cd-rom drive,arc media,0.0
b000aazr5i,nfs maestro solo 2006 1u,3,marketing information nfs maestro solo de facto standard network file system protocol pc supports latest nfs technologies including nfsv4 nfs tcp webnfs advanced nfs features strong security seamless integration windows operating systems comprehensive support enterprise directory services make nfs maestro solo advanced secured pc nfs client bi-directional file printer access windows nfs-enabled hosts product information software type emulation software nfs maestro solo 2006 complete product features benefits support operations ipv6 networking unicode support support setuid setgid connection-specific rpcsec_gss type service symbolic links creation nfs support supports nfs version rfc 1094 rfc1813 rfc3530 client server implementations kernel mode implementation native 32-bit 64-bit implementation supports operation ipv6 networks supports setuid setgid supports webnfs rfc2054 nfs tcp supports 32-bit file locking hard soft mount supports microsoft unc unlimited remote drives printers cache manager device-less connection support creates supports symbolic links nfsv4 compatible command line applications directory services support supports nis nis ldap microsoft active directory support sc,hummingbird communications,309.56
